Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
EGFL6,-6.0312013626098633,-5.6344375610351563,1.1233209371566772,Community 5,17,19,0,0.11909373849630356,0.826163649559021,9,0,0.073329378746836121
PAOX,-6.291956901550293,2.5686788558959961,0.11613363027572632,Community 33,2,2,0,0.010737696662545204,0.70290964841842651,10,0,0.0087970192940888866
ALG10,2.8329291343688965,6.4564533233642578,1.3494092226028442,Community 36,13,13,0,0.082876622676849365,0.78341013193130493,11,0,0.049716273943213041
CACNG6,3.1726295948028564,3.6270570755004883,-0.16694743931293488,Community 30,9,9,0,0.07849622517824173,0.81058168411254883,10.5,0,0.029461766431631904
ZNF57,5.0283184051513672,4.7559633255004883,2.9075081348419189,Community 30,29,29,0,0.15731799602508545,0.813829779624939,10,0,0.1104611567420149
ZNF416,5.3178958892822266,4.95559549331665,3.0038826465606689,Community 30,1,1,0,0,0.67420679330825806,11,0,0.0049626475062550437
FAXC,-0.31241717934608459,1.8329493999481201,-0.92837989330291748,Community 27,24,24,0,0.10526150465011597,0.92562717199325562,9,0,0.070370575624866108
SIAH2,5.8179163932800293,-4.403843879699707,-2.8216431140899658,Community 7,35,35,1,0.1685912162065506,0.8287891149520874,10.5,0,0.14496903956822454
PRRC2B,6.0297417640686035,-4.440648078918457,-3.1092746257781982,Community 7,1,1,0,0,0.68444126844406128,11.5,0,0.0052457449091009118
LRRC8D,-0.12896724045276642,-5.0800380706787109,0.22978261113166809,Community 23,29,30,0,0.20759305357933044,0.88364392518997192,11,0,0.11091423990888546
NUDT1,-0.25854814052581787,-5.4018492698669434,0.19983804225921631,Community 23,1,1,0,0,0.72142589092254639,12,0,0.0048631706636045871
FA2H,-7.1813764572143555,4.4582004547119141,4.5219554901123047,Community 17,3,3,0,0.0070664878003299236,0.73383641242980957,11,0,0.014853218393223183
IDH1,-7.39141321182251,4.6603455543518066,4.6299076080322266,Community 17,1,1,0,0,0.61836504936218262,12,0,0.0059209557841758062
DGKQ,2.7231993675231934,-0.13213825225830078,0.23840266466140747,Community 43,1,1,0,0,0.632022500038147,13,0,0.0046834205552633472
LMTK3,-9.6151819229125977,8.28479290008545,-9.2307701110839844,Community 10,2,2,0,1.2102223081456032E-06,0.0010266940807923675,1,0,0.016684897561154415
THAP5,-9.6040153503417969,8.26134967803955,-9.2008695602417,Community 10,1,1,0,0,0.000684462720528245,2,0,0.00882744890907223
FLII,-5.2067413330078125,10.02481746673584,-0.815916121006012,Community 33,13,13,0,0.095853231847286224,0.72424894571304321,10,0,0.058060543035043724
TMUB2,-5.244542121887207,10.22221851348877,-0.79401832818984985,Community 33,1,1,0,0,0.61154335737228394,11,0,0.0055147708923692857
